,code,outstanding,liquid_assets,totals,totalAssets,growth
1514,002741,1.51,33.8391,3.6,2232847.4661000003,-17.76
1515,600311,6.66,48.3516,6.66,692220.5267999999,2.2
1516,000008,19.95,200.697,28.09,7209587.025,-12.72
1517,002039,3.05,52.30749999999999,3.05,30089953.687499996,-1.46
1518,000899,6.47,68.3232,9.76,7952880.5664,-12.31
1519,600278,5.22,102.3642,5.22,13192941.26,-17.13
1520,300349,1.49,51.047399999999996,2.35,4758178.8588,-7.91
1521,300369,2.53,107.52499999999999,3.72,9289274.725,-31.06
1522,600609,10.93,78.47739999999999,10.93,7600831.503399999,2.65
1523,600292,7.81,103.79489999999998,7.81,11308897.9752,-7.98
1524,002361,5.77,43.79429999999999,8.63,1864312.3455,15.02
1525,002044,10.39,142.2391,24.21,7274923.361099999,-4.67
1526,600100,21.98,314.314,29.64,83883099.3,-3.08
1527,002087,6.76,48.672,8.17,5677508.7360000005,-3.33
1528,000680,10.57,67.0138,12.41,5738144.6241999995,3.63
1529,600202,3.83,47.645199999999996,3.83,2477694.2064,9.73
1530,000836,11.83,92.51060000000001,12.08,1964566.5188,-6.01
1531,300474,0.67,43.550000000000004,2.67,6141403.45,-30.29
1532,600260,5.33,80.3764,6.67,18025485.92,15.19
1533,600210,14.37,82.6275,15.17,6610882.8125,-2.78
1534,002625,2.25,102.60000000000001,12.68,3196176.5039999997,-19.06
1535,000691,2.9,34.278,3.23,332430.999,-21.57
1536,600856,7.71,96.83760000000001,11.34,15208542.9,-5.97
1537,000966,11.08,70.912,11.08,5959484.032000001,-5.63
1538,300112,1.38,21.831599999999998,2.67,1459694.4726,-13.97
1539,603766,8.26,187.915,8.45,20945624.927500002,-3.34
1540,300302,2.46,71.51219999999999,4.21,2329257.2967,-26.07
1541,300331,1.3,41.144999999999996,2.26,2155997.6835000003,-17.82
1542,300484,0.26,26.0546,1.04,8254015.1077999985,-28.18
1543,002138,6.73,122.6206,7.55,7250087.641799999,0.55
1544,600348,24.05,195.52650000000003,24.05,31444079.865000002,-10.58
1545,600679,1.87,48.3956,4.02,4421907.7836,35.86
1546,300290,1.6,25.408,3.21,1643418.9768,-14.61
1547,002686,2.83,48.4779,4.12,2795536.8594,-12.2
1548,002422,9.83,171.82840000000002,14.4,41598646.17,-1.95
1549,002018,22.78,209.12040000000002,22.78,8140441.285800001,-0.11
1550,601218,9.92,58.7264,9.92,2322150.5472,-6.25
1551,002353,6.74,133.9238,9.58,20103251.5456,15.05
1552,601117,49.33,323.1115,49.33,54403376.449999996,19.54
1553,601718,38.57,334.7876,38.57,22469082.72,5.3
1554,603030,0.64,21.299200000000003,1.77,13855435.4432,-11.0
1555,000524,2.7,49.572,2.7,1524167.7012,-18.57
1556,300354,0.73,20.6006,1.38,1053178.8660000002,-22.75
1557,600665,8.64,50.544,8.64,11516288.0625,-5.13
1558,600208,85.98,410.1246,85.99,45854944.919999994,-4.19
1559,600825,10.45,99.58849999999998,10.45,3882136.6067999997,-4.41
1560,601028,7.83,85.6602,7.85,3310566.4186,-4.66
1561,300217,8.7,45.065999999999995,12.73,1162120.8788,-18.34
1562,600688,73.05,454.371,108.0,18820895.849999998,10.13
1563,600301,2.35,28.8345,2.35,1027681.3347,-2.93
1564,300107,3.37,26.1175,5.44,726328.0625,-6.84
1565,300240,3.65,45.6615,3.66,2344205.1149999998,-11.27
1566,000034,3.58,100.956,6.54,45087027.15,-24.5
1567,300218,1.68,34.5408,2.17,3783560.3735999996,-22.67
1568,002567,4.2,56.448,4.93,5508166.0032,-5.65
1569,600396,11.65,65.5895,14.73,11389159.9694,-7.46
1570,000022,4.65,81.468,6.45,11757133.26,10.45
1571,002185,10.65,141.1125,10.66,9637885.17,-10.42
1572,002475,18.74,390.54159999999996,21.2,41809286.15,3.79
1573,002494,2.57,45.720299999999995,3.86,4247863.4664,-27.49
1574,000779,1.86,37.720800000000004,1.86,1814567.196,-10.4
1575,603306,0.74,28.934,2.14,5542188.0540000005,-12.99
1576,002232,4.02,57.08399999999999,4.09,2252148.684,-11.13
1577,600538,2.79,36.27,4.64,1254284.5899999999,10.08
1578,600073,9.38,112.46620000000001,9.38,9534042.618099999,-5.92
1579,300144,11.26,260.5564,14.53,17460882.855,-10.54
1580,600886,67.86,462.8052,67.86,135606342.96,4.55
1581,600176,24.32,275.5456,24.32,26737261.9525,-2.65
1582,300332,6.34,63.717000000000006,9.02,5358822.7095,-9.95
1583,000587,5.76,95.7888,10.62,50004846.779999994,-4.99
1584,300347,2.99,89.401,4.75,6392265.984,-15.65
1585,002355,3.42,56.703599999999994,5.14,5769751.9602,-21.59
1586,000681,1.97,45.388799999999996,7.01,7869224.908799999,-21.14
1587,002702,1.64,31.5864,2.98,2196403.2738,-8.05
1588,600716,9.1,75.34799999999998,9.36,8441895.7764,-13.89
